9.74,
182.27,
140.49,
200.0,
200.0,
200.0,
200.0,
125.92,
200.0,
200.0,
104.33,
195.97,
184.0,
103.82,
104.41,
200.0,
200.0,
199.16,
200.0,
199.15,
