176.13,
109.68,
93.24,
83.64,
72.82,
48.05,
91.37,
90.51,
93.32,
88.17,
96.44,
98.44,
200.0,
120.76,
165.04,
94.38,
58.94,
198.58,
200.0,
154.74,
102.17,
199.63,
86.42,
90.0,
79.02,
