41.96,
40.69,
37.46,
36.79,
24.45,
9.35,
9.35,
9.42,
18.29,
9.32,
59.61,
53.45,
35.04,
119.86,
9.76,
37.99,
23.19,
20.02,
16.51,
28.27,
89.87,
88.82,
86.74,
46.16,
88.78,
107.02,
93.17,
161.87,
182.95,
102.96,
107.56,
116.8,
147.48,
137.13,
125.11,
93.27,
